,threshold,sharpe,max_drawdown,total_return,n_trades
0,0.45,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
1,0.46,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
2,0.47000000000000003,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
3,0.48000000000000004,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
4,0.49000000000000005,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
5,0.5,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
6,0.51,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
7,0.52,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
8,0.53,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
9,0.54,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
10,0.55,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
11,0.56,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
12,0.5700000000000001,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
13,0.5800000000000001,1.2388984228228668,-0.23124508397170537,224.80956008374028,9
14,0.5900000000000001,0.9551130319683953,-0.23124508397170537,113.98082243611665,8
15,0.6000000000000001,0.9551130319683953,-0.23124508397170537,113.98082243611665,8
